name,time,air_Pressure_mH2o,air_Temp_float,airtime,batt,channel,coding_rate,counter,data_rate,dev_id,dist,dist2,frequency,gateway_time,gateway_timestamp,gtw_id,hardware_serial,is_retry,modulation,payload_raw,port,rf_chain,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
puhatu,1.60E+18,-1,0,1.97E+09,4.54,1,04-May,0,SF12BW125,puhatu_c3,33.92417908,,868.3,2020-11-08T16:21:40.634742Z,2.56E+09,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,IzqRQFyyB0Kt9yVB//2gQQAAgL8AAAAA,1,0,-113,-19.8,10.37296772,20.12402153,
puhatu,1.60E+18,-1,0,1.97E+09,3.88,6,04-May,0,SF12BW125,puhatu_c3,33.95493317,,867.7,2020-11-08T16:22:25.655416Z,2.61E+09,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,d0F4QNrRB0J2+iVB6gShQQAAgL8AAAAA,1,0,-45,13.8,10.37364769,20.12739944,
puhatu,1.60E+18,-1,0,1.97E+09,3.88,5,04-May,0,SF12BW125,puhatu_c3,24.30213737,,867.5,2020-11-08T16:30:21.203969Z,3.08E+09,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,QDV4QMdqwkEn/SVBwSyhQQAAgL8AAAAA,1,0,-38,9.2,10.37430477,20.14685249,
puhatu,1.60E+18,-1,0,1.97E+09,3.83,7,04-May,0,SF12BW125,puhatu_c3,23.97261429,,867.9,2020-11-08T17:00:52.149708Z,6.21E+08,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,#NAME?,1,0,-41,12,10.37759972,20.07428741,
puhatu,1.60E+18,-1,0,1.97E+09,3.8,7,04-May,0,SF12BW125,puhatu_c3,24.06603622,,867.9,2020-11-08T18:00:13.617027Z,4.18E+09,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,/GlzQD6HwEGGHCZBnVOfQQAAgL8AAAAA,1,0,-42,11.8,10.38196373,19.9158268,
puhatu,1.60E+18,-1,0,1.97E+09,3.78,5,04-May,0,SF12BW125,puhatu_c3,24.70723724,,867.5,2020-11-08T19:00:13.398813Z,3.49E+09,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,h8txQGyoxUGfNSZBsimeQQAAgL8AAAAA,1,0,-37,11,10.38809109,19.77035904,
puhatu,1.60E+18,-1,0,1.97E+09,3.73,7,04-May,0,SF12BW125,puhatu_c3,23.40312576,,867.9,2020-11-08T21:01:03.915116Z,2.15E+09,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,VY5uQJo5u0FjUSZBMeWcQQAAgL8AAAAA,1,0,-31,14.2,10.3948698,19.61190987,
puhatu,1.60E+18,-1,0,1.97E+09,3.71,5,04-May,0,SF12BW125,puhatu_c3,22.77590561,,867.5,2020-11-08T21:31:05.260193Z,3.95E+09,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,a69tQA41tkHnXCZBb3icQQAAgL8AAAAA,1,0,-28,8.8,10.39768124,19.55880547,
puhatu,1.60E+18,-1,0,1.97E+09,3.7,2,04-May,0,SF12BW125,puhatu_c3,17.91677666,,868.5,2020-11-08T22:00:13.810273Z,1.40E+09,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,vM1sQI9Vj0GXZiZBDDGcQQAAgL8AAAAA,1,0,-109,3.2,10.40004635,19.52394867,
puhatu,1.60E+18,-1,0,1.97E+09,3.66,4,04-May,0,SF12BW125,puhatu_c3,17.97977066,,867.3,2020-11-08T23:00:12.499026Z,7.06E+08,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,QkVqQJLWj0F6dCZBdoSbQQAAgL8AAAAA,1,0,-29,11.5,10.40343666,19.43967819,
puhatu,1.60E+18,-1,0,1.97E+09,3.65,6,04-May,0,SF12BW125,puhatu_c3,18.22952271,,867.7,2020-11-08T23:30:17.572276Z,2.51E+09,eui-b827ebfffefdad64,70B3D549930FADA6,TRUE,LORA,W1xpQBDWkUEAeSZBZgybQQAAgL8AAAAA,1,0,-30,15.2,10.40454102,19.38105392,
