name,time,air_Pressure_mH2o,air_Temp_float,airtime,batt,channel,coding_rate,counter,data_rate,dev_id,dist,dist2,frequency,gateway_time,gateway_timestamp,gtw_id,hardware_serial,is_retry,modulation,payload_raw,port,rf_chain,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
puhatu,1.62E+18,-2,0,2.14E+09,3.364,7,04-May,0,SF12BW125,puhatu_b3,51.7,,867.9,2021-04-01T07:13:28.12364Z,2.65E+09,eui-b827ebfffed73719,70B3D5499F5262E5,TRUE,LORA,e01XQK6nTkIAAIC/AAAAAAAAAMAAAAAAAAAAAA==,1,0,-123,-11.2,-1,0,
puhatu,1.62E+18,-1,0,2.14E+09,3.359,5,04-May,0,SF12BW125,puhatu_b3,51,,867.5,2021-04-01T08:05:21.091444Z,1.47E+09,eui-b827ebfffed73719,70B3D5499F5262E5,TRUE,LORA,M/pWQAoXTEIAAIC/AAAAAAAAgL8AAAAAAAAAAA==,1,0,-119,-14,-1,0,
puhatu,1.62E+18,10.27883625,14.92835617,2.14E+09,3.431,5,04-May,0,SF12BW125,puhatu_b3,52.2,,867.5,2021-04-01T12:55:43.062956Z,1.71E+09,eui-b827ebfffed73719,70B3D5499F5262E5,TRUE,LORA,8ZxbQM3EUEIAAIC/AAAAAB12JEGM2m5BAAAAAA==,1,0,-120,-16,-1,0,
puhatu,1.62E+18,-1,0,2.14E+09,3.745,0,04-May,0,SF12BW125,puhatu_b3,30.5,,868.1,2021-04-01T19:39:31.720688Z,1.81E+09,eui-b827ebfffefdad64,70B3D5499F5262E5,TRUE,LORA,QrZvQBXW80EAAIC/AAAAAAAAgL8AAAAAAAAAAA==,1,0,-119,1.8,-1,0,
puhatu,1.62E+18,-1,0,2.14E+09,3.749,1,04-May,0,SF12BW125,puhatu_b3,29.7,,868.3,2021-04-01T20:06:22.472622Z,1.78E+09,eui-b827ebfffed73719,70B3D5499F5262E5,TRUE,LORA,8fFvQMPd7UEAAIC/AAAAAAAAgL8AAAAAAAAAAA==,1,0,-119,-15.5,-1,0,
puhatu,1.62E+18,10.25793266,0.527193844,2.14E+09,3.743,0,04-May,0,SF12BW125,puhatu_b3,53.4,,868.1,2021-04-02T00:43:10.348103Z,2.85E+09,eui-b827ebfffefdad64,70B3D5499F5262E5,TRUE,LORA,roVvQGaiVUIAAIC/AAAAAH4gJEEt9gY/AAAAAA==,1,0,-118,2.8,-1,0,
puhatu,1.62E+18,10.24544334,0.09192276,2.14E+09,3.738,1,04-May,0,SF12BW125,puhatu_b3,30.5,,868.3,2021-04-02T04:10:33.026965Z,2.41E+09,eui-b827ebfffefdad64,70B3D5499F5262E5,TRUE,LORA,LDVvQD1i9EEAAIC/AAAAAFbtI0EAQrw9AAAAAA==,1,0,-119,-1.8,-1,0,
puhatu,1.62E+18,-1,0,2.14E+09,3.376,1,04-May,0,SF12BW125,puhatu_b3,53.9,,868.3,2021-04-02T08:16:08.10284Z,4.26E+09,eui-b827ebfffefdad64,70B3D5499F5262E5,TRUE,LORA,QApYQBVqV0IAAIC/AAAAAAAAgL8AAAAAAAAAAA==,1,0,-120,-1,-1,0,
puhatu,1.62E+18,10.24233055,8.387174606,2.14E+09,3.435,6,04-May,0,SF12BW125,puhatu_b3,53.4,,867.7,2021-04-02T12:02:29.994715Z,3.31E+09,eui-b827ebfffed73719,70B3D5499F5262E5,TRUE,LORA,Z9tbQMO1VUIAAIC/AAAAAJbgI0HeMQZBAAAAAA==,1,0,-120,-12,-1,0,
puhatu,1.62E+18,10.24646187,0.509370506,2.14E+09,3.606,1,04-May,0,SF12BW125,puhatu_b3,30.6,,868.3,2021-04-03T04:40:58.039713Z,4.42E+08,eui-b827ebfffefdad64,70B3D5499F5262E5,TRUE,LORA,Kc9mQBWG9EEAAIC/AAAAAILxI0EbZgI/AAAAAA==,1,0,-116,2,-1,0,
