name,time,air_Pressure_mH2O,air_Temp_float,batt,channel_rssi,data_rate_index,dev_id,device_id,dist,forwarder_gateway_id,recieved_time,rssi,snr,spreading_factor,timestamp,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
puhatu-v3,1.63274E+18,10.48190212,18.98998833,4.637,-103,2,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-09-27T09:52:52.399748994Z,-103,9,10,,11.80676746,10.85484982,1.324865341
puhatu-v3,1.63274E+18,10.48213387,18.67742348,4.65,-99,2,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-09-27T09:54:00.727365538Z,-99,11.2,10,,11.8082819,10.85769272,1.326148033
puhatu-v3,1.63274E+18,10.48138237,20.88777542,3.636,-99,2,puhatu-b1v3,,50.6,eui-b827ebfffefdad64,2021-09-27T10:00:41.829778874Z,-99,11,10,,11.82054234,10.85669804,1.339159966
puhatu-v3,1.63274E+18,10.48498535,16.06175041,3.639,-102,2,puhatu-b1v3,,49.6,eui-b827ebfffefdad64,2021-09-27T12:00:41.708510892Z,-102,11.2,10,,11.80738544,10.86522007,1.322400093
puhatu-v3,1.63276E+18,10.48358631,8.482067108,3.998,-104,2,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-09-27T17:18:50.237644744Z,-104,10.2,10,,-1,0,-11.48358631
puhatu-v3,1.63277E+18,10.48287106,-0.71557039,3.996,-101,2,puhatu-b1v3,,50.3,eui-b827ebfffefdad64,2021-09-27T19:58:27.856125939Z,-101,8.2,10,,11.80613708,10.83062744,1.323266029
puhatu-v3,1.63277E+18,10.48337364,-0.785076439,3.998,-97,2,puhatu-b1v3,,49.9,eui-b827ebfffefdad64,2021-09-27T20:03:28.598809767Z,-97,9,10,,11.80603504,10.83069801,1.3226614
puhatu-v3,1.63279E+18,10.48943233,-3.303935289,3.996,-102,2,puhatu-b1v3,,49.8,eui-b827ebfffefdad64,2021-09-28T00:00:54.829657281Z,-102,12.8,10,,11.81187534,10.81897545,1.322443008
puhatu-v3,1.6328E+18,-1,0,4.003,-103,2,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-09-28T04:07:24.317218800Z,-103,12,10,,-1,0,0
puhatu-v3,1.63282E+18,-2,0,3.627,-94,2,puhatu-b1v3,,50.2,eui-b827ebfffefdad64,2021-09-28T08:04:43.453039239Z,-94,11.2,10,,-1,0,1
puhatu-v3,1.63283E+18,-2,0,3.647,-98,2,puhatu-b1v3,,50.2,eui-b827ebfffefdad64,2021-09-28T12:04:45.013080248Z,-98,12,10,,-1,0,1
puhatu-v3,1.63284E+18,10.51138592,9.859622955,4.017,-102,2,puhatu-b1v3,,50.1,eui-b827ebfffefdad64,2021-09-28T16:00:55.448932552Z,-102,11.8,10,,-1,0,-11.51138592
puhatu-v3,1.63286E+18,10.5196104,7.9743433,4.014,-97,2,puhatu-b1v3,,50,eui-b827ebfffefdad64,2021-09-28T20:01:06.204485358Z,-97,12.2,10,,11.83439541,10.78330708,1.314785004
puhatu-v3,1.63287E+18,10.52788448,6.888804436,4.013,-97,2,puhatu-b1v3,,50,eui-b827ebfffefdad64,2021-09-29T00:01:27.694586978Z,-97,11.5,10,,11.84184933,10.7705164,1.313964844
puhatu-v3,1.63289E+18,10.52544308,6.655284405,4.011,-96,2,puhatu-b1v3,,49.9,eui-b827ebfffefdad64,2021-09-29T04:01:42.479481099Z,-96,9.8,10,,11.84081364,10.75949955,1.31537056
puhatu-v3,1.6329E+18,-1,0,3.647,-101,2,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-09-29T08:09:04.187991339Z,-101,8.2,10,,-1,0,0
puhatu-v3,1.63292E+18,-1,0,3.645,-97,2,puhatu-b1v3,,49.9,eui-b827ebfffefdad64,2021-09-29T12:02:35.886998081Z,-97,9,10,,-1,0,0
puhatu-v3,1.63293E+18,-1,0,4.009,-96,2,puhatu-b1v3,,50,eui-b827ebfffefdad64,2021-09-29T16:02:38.078646550Z,-96,12,10,,-1,0,0
puhatu-v3,1.63294E+18,10.51426506,8.704673767,4.011,-96,2,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-09-29T17:03:32.065647291Z,-96,8.5,10,,-1,0,-11.51426506
puhatu-v3,1.63294E+18,10.51540947,8.029988289,4.009,-97,2,puhatu-b1v3,,50.6,eui-b827ebfffefdad64,2021-09-29T18:34:32.831813622Z,-97,9.8,10,,-1,0,-11.51540947
puhatu-v3,1.63295E+18,10.51439953,7.645623684,4.01,-96,2,puhatu-b1v3,,51,eui-b827ebfffefdad64,2021-09-29T20:05:27.935727682Z,-96,7.2,10,,-1,0,-11.51439953
puhatu-v3,1.63295E+18,10.51482296,7.430720329,4.009,-96,2,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-09-29T21:36:20.447426576Z,-96,9.2,10,,11.83123112,10.72481441,1.316408157
puhatu-v3,1.63296E+18,10.51596069,7.120269775,4.009,-94,2,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-09-29T23:07:10.434441712Z,-94,10.8,10,,11.83364964,10.72666359,1.317688942
puhatu-v3,1.63296E+18,10.51320076,6.417217255,4.009,-94,2,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-09-30T00:37:57.560647204Z,-94,9.2,10,,-1,0,-11.51320076
puhatu-v3,1.63297E+18,10.51000595,4.729250908,4.01,-98,2,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-09-30T02:08:33.915522412Z,-98,11.8,10,,11.82995319,10.72147465,1.319947243
puhatu-v3,1.63297E+18,10.50732708,2.504438877,4.008,-94,2,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-09-30T03:39:03.145358353Z,-94,11.5,10,,-1,0,-11.50732708
puhatu-v3,1.63298E+18,10.50609589,4.795680523,3.967,-97,2,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-09-30T05:07:49.785382725Z,-97,9.5,10,,-1,0,-11.50609589
puhatu-v3,1.63298E+18,10.50685883,6.832024097,3.654,-99,2,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-09-30T06:36:34.404685435Z,-99,10,10,,-1,0,-11.50685883
puhatu-v3,1.63299E+18,10.50627518,9.272292137,3.634,-97,2,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-09-30T08:05:19.426522608Z,-97,9.2,10,,-11,0,-21.50627518
puhatu-v3,1.63299E+18,10.50458241,11.290205,3.628,-117,2,puhatu-b1v3,,51,eui-b827ebfffefdad64,2021-09-30T09:33:57.548868486Z,-117,3.5,10,,11.82280159,10.70711422,1.318219185
puhatu-v3,1.633E+18,10.50122166,14.17151737,3.799,-100,2,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-09-30T11:03:10.282958859Z,-100,9,10,,-1,0,-11.50122166
puhatu-v3,1.63301E+18,-9,0,3.642,-97,,puhatu-b1v3,,50.6,eui-b827ebfffefdad64,2021-09-30T12:37:42.843917384Z,-97,12.2,10,,11.81605625,10.75879002,20.81605625
puhatu-v3,1.63301E+18,-1,0,3.685,-103,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-09-30T13:58:19.231259339Z,-103,11,10,,-1,0,0
puhatu-v3,1.63302E+18,-1,0,4.017,-96,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-09-30T15:19:29.553698636Z,-96,13.2,10,,-1,0,0
puhatu-v3,1.63302E+18,-1,0,4.012,-100,,puhatu-b1v3,,50.5,eui-b827ebfffefdad64,2021-09-30T16:39:33.118869036Z,-100,10.5,10,,-1,0,0
puhatu-v3,1.63302E+18,10.48103237,3.086859941,4.011,-97,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-09-30T17:58:31.776989688Z,-97,11.8,10,,11.8019619,10.69403362,1.320929527
puhatu-v3,1.63303E+18,10.48163509,4.972847462,4.014,-99,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-09-30T19:18:00.655194123Z,-99,11,10,,11.80096436,10.69182873,1.319329262
puhatu-v3,1.63303E+18,10.48091698,1.869819999,4.011,-102,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-09-30T20:37:08.728123811Z,-102,12,10,,-1,0,-11.48091698
puhatu-v3,1.63304E+18,10.4810667,1.489456296,4.008,-96,,puhatu-b1v3,,51.1,eui-b827ebfffefdad64,2021-09-30T21:56:10.534246966Z,-96,9.2,10,,-4,0,-14.4810667
puhatu-v3,1.63304E+18,10.47756767,0.41434738,4.01,-96,,puhatu-b1v3,,51,eui-b827ebfffefdad64,2021-09-30T23:15:18.736174378Z,-96,9,10,,-10,0,-20.47756767
puhatu-v3,1.63305E+18,10.47438145,1.108885407,4.006,-97,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-01T00:34:22.518069612Z,-97,10.8,10,,-1,0,-11.47438145
puhatu-v3,1.63305E+18,10.47029018,0.542800903,4.009,-96,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-01T01:53:15.030473901Z,-96,8.2,10,,11.79411983,10.67370033,1.323829651
puhatu-v3,1.63306E+18,10.46886063,0.969355345,4.008,-97,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-01T03:12:08.799645150Z,-97,9.5,10,,-1,0,-11.46886063
puhatu-v3,1.63306E+18,10.46776772,1.82248354,4.008,-99,,puhatu-b1v3,,51.1,eui-b827ebfffefdad64,2021-10-01T04:31:03.333285212Z,-99,10.5,10,,-1,0,-11.46776772
puhatu-v3,1.63307E+18,10.46967506,3.767844915,3.655,-96,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-01T05:50:02.493877655Z,-96,9,10,,-1,0,-11.46967506
puhatu-v3,1.63307E+18,10.47409248,9.99728775,3.757,-96,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-01T07:09:04.352988790Z,-96,10,10,,-1,0,-11.47409248
puhatu-v3,1.63308E+18,10.47522545,17.20091248,4.175,-100,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-01T08:28:09.598352018Z,-100,11.8,10,,-1,0,-11.47522545
puhatu-v3,1.63308E+18,10.47388649,17.56916046,4.271,-101,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-01T09:46:59.398560726Z,-101,11,10,,-1,0,-11.47388649
puhatu-v3,1.63309E+18,10.47501755,13.62561131,3.66,-106,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-01T11:05:28.121656668Z,-106,8,10,,-4,0,-14.47501755
puhatu-v3,1.63309E+18,10.476264,12.45494652,3.661,-101,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-01T12:23:52.489709748Z,-101,11.2,10,,-1,0,-11.476264
puhatu-v3,1.6331E+18,10.4710207,10.93073463,3.693,-99,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-01T14:20:52.328956928Z,-99,9.8,10,,-1,0,-11.4710207
puhatu-v3,1.63312E+18,-1,0,3.999,-100,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-01T19:43:06.389058839Z,-100,11.5,10,,11.78988743,10.66402817,12.78988743
puhatu-v3,1.63312E+18,-1,0,3.997,-95,,puhatu-b1v3,,51,eui-b827ebfffefdad64,2021-10-01T20:37:24.494485821Z,-95,12.8,10,,11.79298782,10.65023422,12.79298782
puhatu-v3,1.63314E+18,10.46819019,6.338478565,3.977,-97,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-02T00:42:13.625650818Z,-97,10,10,,11.79432964,10.6446867,1.32613945
puhatu-v3,1.63314E+18,-1,0,3.978,-98,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-02T01:31:05.516837535Z,-98,11.8,10,,-1,0,0
puhatu-v3,1.63314E+18,-1,0,3.981,-101,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-02T02:08:17.332913544Z,-101,8.2,10,,-2,0,-1
puhatu-v3,1.63315E+18,-1,0,3.98,-96,,puhatu-b1v3,,49.9,eui-b827ebfffefdad64,2021-10-02T03:45:11.306758779Z,-96,9.5,10,,-1,0,0
puhatu-v3,1.63315E+18,-1,0,3.61,-96,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-02T05:16:21.958495709Z,-96,9.8,10,,-1,0,0
puhatu-v3,1.63316E+18,-1,0,3.602,-99,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-02T06:49:42.391244827Z,-99,10,10,,-3,0,-2
puhatu-v3,1.63316E+18,10.46692944,18.03017426,4.179,-96,,puhatu-b1v3,,49.9,eui-b827ebfffefdad64,2021-10-02T08:13:02.857279506Z,-96,11,10,,-1,0,-11.46692944
puhatu-v3,1.63317E+18,10.46080303,21.95124245,4.315,-96,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-02T09:45:20.177470601Z,-96,9.8,10,,-1,0,-11.46080303
puhatu-v3,1.63317E+18,10.45614719,21.5021534,3.661,-98,,puhatu-b1v3,,50.5,eui-b827ebfffefdad64,2021-10-02T11:17:12.382905906Z,-98,8.8,10,,11.78193092,10.56416702,1.32578373
puhatu-v3,1.63318E+18,10.45033073,20.48990631,4.554,-96,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-02T12:48:55.115934179Z,-96,12,10,,11.77504063,10.56722641,1.324709892
puhatu-v3,1.63318E+18,10.44864845,17.84930992,3.681,-96,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-02T14:20:13.463520316Z,-96,9.5,10,,11.77210331,10.56516266,1.323454857
puhatu-v3,1.63319E+18,10.44832802,8.313373566,4.036,-95,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-02T15:51:10.843561496Z,-95,13.2,10,,-1,0,-11.44832802
puhatu-v3,1.6332E+18,10.446908,1.775456905,4.03,-95,,puhatu-b1v3,,50.6,eui-b827ebfffefdad64,2021-10-02T17:21:50.179220170Z,-95,9.5,10,,11.77310658,10.55719471,1.326198578
puhatu-v3,1.6332E+18,10.44587612,3.636508226,4.03,-96,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-02T18:53:16.206913640Z,-96,12.2,10,,11.77178478,10.5635252,1.325908661
puhatu-v3,1.63321E+18,10.44656467,4.569415092,4.027,-97,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-02T20:24:52.022635904Z,-97,9.8,10,,11.77091122,10.56096458,1.324346542
puhatu-v3,1.63321E+18,10.44461346,4.127898693,4.028,-96,,puhatu-b1v3,,51.1,eui-b827ebfffefdad64,2021-10-02T21:56:16.747848407Z,-96,14,10,,11.76958847,10.55982685,1.324975014
puhatu-v3,1.63322E+18,10.44463348,1.321350098,4.026,-95,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-02T23:27:19.789546777Z,-95,9.5,10,,11.77074242,10.55491829,1.326108932
puhatu-v3,1.63322E+18,10.44120121,3.116799831,4.024,-95,,puhatu-b1v3,,50.6,eui-b827ebfffefdad64,2021-10-03T00:58:47.842102353Z,-95,11,10,,11.76586342,10.54979515,1.324662209
puhatu-v3,1.63323E+18,10.43779945,3.419987202,4.024,-97,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-03T02:30:02.285745419Z,-97,10,10,,11.76354694,10.55086136,1.32574749
puhatu-v3,1.63323E+18,10.43565559,3.595670462,4.023,-96,,puhatu-b1v3,,51.1,eui-b827ebfffefdad64,2021-10-03T04:01:13.341385985Z,-96,9.5,10,,-1,0,-11.43565559
puhatu-v3,1.63324E+18,10.43703842,7.221469879,3.662,-97,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-03T05:32:32.988245788Z,-97,10,10,,-1,0,-11.43703842
puhatu-v3,1.63324E+18,10.43815136,13.23519993,3.768,-103,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-03T07:04:10.454092555Z,-103,11.5,10,,-1,0,-11.43815136
puhatu-v3,1.63325E+18,10.43610764,19.75340652,4.285,-98,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-03T08:35:46.149764351Z,-98,10.8,10,,-1,0,-11.43610764
puhatu-v3,1.63326E+18,10.43261719,22.52953148,4.321,-103,,puhatu-b1v3,,51,eui-b827ebfffefdad64,2021-10-03T10:07:08.245771647Z,-103,9,10,,-1,0,-11.43261719
puhatu-v3,1.63327E+18,10.42634869,20.05245399,4.65,-97,,puhatu-b1v3,,50.5,eui-b827ebfffefdad64,2021-10-03T13:08:13.155469790Z,-97,8.2,10,,-1,0,-11.42634869
puhatu-v3,1.63327E+18,10.43384075,13.92002583,3.79,-97,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-03T14:38:19.458334664Z,-97,9.5,10,,-1,0,-11.43384075
puhatu-v3,1.63328E+18,10.43471336,9.789958954,4.107,-95,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-03T16:06:41.848543226Z,-95,9,10,,-1,0,-11.43471336
puhatu-v3,1.63328E+18,10.4374733,8.658953667,4.108,-97,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-03T17:35:06.382067934Z,-97,7.5,10,,-1,0,-11.4374733
puhatu-v3,1.63329E+18,10.44064999,7.573207378,4.104,-96,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-03T19:03:32.682096Z,-96,13.2,10,,-1,0,-11.44064999
puhatu-v3,1.63329E+18,10.44457245,6.459546566,4.106,-94,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-03T20:31:52.144577047Z,-94,11,10,,-1,0,-11.44457245
puhatu-v3,1.6333E+18,10.44791794,5.759802341,4.106,-96,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-03T22:00:11.596001868Z,-96,13.8,10,,-1,0,-11.44791794
puhatu-v3,1.6333E+18,10.45035362,4.726072311,4.101,-95,,puhatu-b1v3,,50.6,eui-b827ebfffefdad64,2021-10-03T23:28:25.163353946Z,-95,7,10,,-1,0,-11.45035362
puhatu-v3,1.63331E+18,10.44515133,3.92215085,4.102,-94,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-04T00:56:31.794696722Z,-94,11.2,10,,-1,0,-11.44515133
puhatu-v3,1.63331E+18,10.44245052,3.945141077,4.099,-97,,puhatu-b1v3,,51.1,eui-b827ebfffefdad64,2021-10-04T02:24:39.301864231Z,-97,10,10,,-11,0,-21.44245052
puhatu-v3,1.63332E+18,10.44193745,3.535729408,4.102,-100,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-04T03:52:45.193501071Z,-100,10.8,10,,-1,0,-11.44193745
puhatu-v3,1.63332E+18,10.442976,4.748641968,3.744,-95,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-04T05:20:51.945620619Z,-95,12.2,10,,-1,0,-11.442976
puhatu-v3,1.63333E+18,10.44505501,11.25018215,3.728,-99,,puhatu-b1v3,,51,eui-b827ebfffefdad64,2021-10-04T06:49:20.968853313Z,-99,8.2,10,,-1,0,-11.44505501
puhatu-v3,1.63339E+18,10.44354439,7.531147957,4.093,-103,,puhatu-b1v3,,50.6,eui-b827ebfffefdad64,2021-10-04T22:53:05.825259395Z,-103,9.2,10,,11.76566887,10.49450207,1.322124481
puhatu-v3,1.63339E+18,10.44266129,6.881441593,4.093,-97,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-05T00:20:20.282022069Z,-97,11.8,10,,11.76459599,10.4938612,1.3219347
puhatu-v3,1.6334E+18,10.43895626,7.229027748,4.094,-97,,puhatu-b1v3,,51,eui-b827ebfffefdad64,2021-10-05T01:47:29.582271875Z,-97,9.5,10,,11.75593758,10.46852016,1.316981316
puhatu-v3,1.6334E+18,10.43955517,7.624048233,4.093,-101,,puhatu-b1v3,,50.6,eui-b827ebfffefdad64,2021-10-05T03:14:41.573878221Z,-101,10.8,10,,11.75567341,10.47058487,1.31611824
puhatu-v3,1.63341E+18,10.44008923,7.670530319,4.087,-97,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-05T04:41:50.752248604Z,-97,13.8,10,,11.75614452,10.46389294,1.316055298
puhatu-v3,1.63341E+18,10.4432621,9.137892723,3.724,-103,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-05T06:08:57.212606031Z,-103,12.5,10,,11.75745773,10.46211433,1.314195633
puhatu-v3,1.63342E+18,10.44591427,10.72582245,3.715,-99,,puhatu-b1v3,,50.8,eui-b827ebfffefdad64,2021-10-05T07:36:05.707363327Z,-99,9.8,10,,11.75942993,10.46133137,1.313515663
puhatu-v3,1.63342E+18,10.45068359,12.33812618,3.716,-97,,puhatu-b1v3,,50.9,eui-b827ebfffefdad64,2021-10-05T09:03:09.336733112Z,-97,10,10,,11.77003193,10.4627552,1.319348335
puhatu-v3,1.63343E+18,10.45137215,13.20166492,3.713,-102,,puhatu-b1v3,,51,eui-b827ebfffefdad64,2021-10-05T10:30:06.730563206Z,-102,10.8,10,,11.7683754,10.46432114,1.31700325
puhatu-v3,1.63344E+18,10.45161533,13.6645546,3.715,-100,,puhatu-b1v3,,50.7,eui-b827ebfffefdad64,2021-10-05T11:57:04.999760181Z,-100,8.8,10,,11.76438236,10.46026325,1.312767029
